precinct,pct_obama,pct_romney,total_votes,pct_hisp,county
V003,0.530066815,0.465478842,449,0.192837466,broward
E019,0.530716724,0.462457338,586,0.162486938,broward
Q068,0.530903328,0.461172742,631,0.329943503,broward
Q061,0.531506849,0.463013699,730,0.317709485,broward
T011,0.531879195,0.447986577,596,0.19245283,broward
X011,0.532423208,0.448805461,586,0.545454545,broward
D001,0.533156499,0.450928382,377,0.143310082,broward
X037,0.533602151,0.461021505,744,0.338095238,broward
S009,0.533834586,0.456140351,399,0.161832947,broward
N003,0.536637931,0.456896552,464,0.168604651,broward
X038,0.538461538,0.448160535,299,0.403726708,broward
X043,0.538802661,0.45232816,451,0.384075656,broward
V038,0.539130435,0.454347826,460,0.419041844,broward
V034,0.54,0.453333333,300,0.294416244,broward
A017,0.540716612,0.456026059,307,0.091111111,broward
R057,0.541666667,0.444444444,72,0.112112112,broward
E015,0.542857143,0.45,420,0.144585987,broward
R056,0.543209877,0.450617284,162,0.062806673,broward
Y005,0.543657331,0.448105437,607,0.237229437,broward
R067,0.546165884,0.447574335,639,0.209145931,broward
C024,0.547085202,0.439461883,446,0.125678821,broward
L014,0.54822335,0.441624365,197,0.005351171,broward
D009,0.548453608,0.426804124,485,0.11574596,broward
X049,0.548888889,0.444444444,450,0.257864633,broward
V054,0.548979592,0.446938776,490,0.36678508,broward
N028,0.549132948,0.445086705,519,0.134206219,broward
C027,0.550091075,0.440801457,549,0.081677704,broward
E022,0.550387597,0.441860465,903,0.107663078,broward
X030,0.550724638,0.441370224,759,0.327574292,broward
X031,0.551378446,0.443609023,399,0.441241685,broward
R048,0.551856594,0.42893726,781,0.260368664,broward
T008,0.552369077,0.440149626,802,0.296818182,broward
V013,0.552529183,0.431906615,514,0.301016419,broward
A021,0.552587646,0.439065109,599,0.184449489,broward
E007,0.552667579,0.440492476,731,0.180097087,broward
P006,0.554858934,0.44200627,319,0.065862709,broward
N026,0.556962025,0.443037975,474,0.229157939,broward
E017,0.557174888,0.428251121,892,0.14182162,broward
C026,0.557446809,0.438297872,235,0.351945854,broward
T007,0.557823129,0.429931973,735,0.293409742,broward
S006,0.559265442,0.429048414,599,0.190694127,broward
T021,0.561135371,0.423580786,458,0.156443444,broward
E012,0.562893082,0.429245283,636,0.273567468,broward
N010,0.564147627,0.420035149,569,0.12970469,broward
G005,0.564343164,0.427613941,746,0.18028169,broward
C032,0.565217391,0.424347826,575,0.205673759,broward
X050,0.565217391,0.428093645,598,0.296976882,broward
N027,0.565377532,0.425414365,543,0.056390977,broward
E026,0.56561086,0.418552036,442,0.17431694,broward
V036,0.565656566,0.429292929,198,0.275815217,broward
G006,0.565714286,0.43047619,525,0.20233463,broward
V030,0.567039106,0.424581006,358,0.17271051,broward
E030,0.568920105,0.423178227,1139,0.199121523,broward
