precinct,pct_trump,pct_clinton,total_votes,pct_hisp,county
348,0.498985801,0.45841785,493,0.830584708,miami-dade
349,0.40709561,0.565243536,1663,0.88470973,miami-dade
350,0.293289147,0.681855841,1207,0.57584771,miami-dade
351,0.265625,0.701171875,2560,0.660964666,miami-dade
352,0.59233321,0.377073351,2713,0.739233038,miami-dade
353,0.482981221,0.483568075,1704,0.880158033,miami-dade
354,0.630409357,0.340350877,855,0.857027464,miami-dade
355,0.263280341,0.709577356,2579,0.755387931,miami-dade
356,0.249482402,0.716356108,966,0.741237882,miami-dade
357,0.566613162,0.402086677,1246,0.834498834,miami-dade
358,0.438322368,0.533717105,1216,0.87700831,miami-dade
359,0.393511989,0.592383639,1418,0.890874882,miami-dade
360,0.439591405,0.534343079,2839,0.898092248,miami-dade
362,0.472489684,0.504126547,1454,0.899163569,miami-dade
363,0.382460973,0.587235996,2178,0.886189258,miami-dade
364,0.407619828,0.566161409,2441,0.780567041,miami-dade
365,0.316489362,0.655585106,2256,0.743811881,miami-dade
366,0.292438658,0.66649975,1997,0.778122576,miami-dade
367,0.345343681,0.605321508,1804,0.889278752,miami-dade
368,0.51511335,0.459277918,2382,0.877355837,miami-dade
369,0.5625,0.4375,48,0.818181818,miami-dade
370,0.270939086,0.691624365,1576,0.778664008,miami-dade
371,0.390262457,0.576264739,2629,0.737749546,miami-dade
372,0.482993197,0.475056689,882,0.798519737,miami-dade
373,1,0,2,0.333333333,miami-dade
374,0,1,2,1,miami-dade
375,0.529331514,0.448840382,733,0.893496701,miami-dade
376,0.543891734,0.419531822,2734,0.888704319,miami-dade
377,0.528522672,0.451487079,2051,0.873966259,miami-dade
378,0.521613833,0.438040346,694,0.882828283,miami-dade
379,0.527385658,0.446640316,1771,0.889239259,miami-dade
381,0.521701389,0.456597222,1152,0.890867318,miami-dade
382,0.519009726,0.456233422,1131,0.850204798,miami-dade
384,0.461038961,0.516233766,1848,0.894157815,miami-dade
385,0.540072202,0.433212996,2770,0.83945323,miami-dade
386,0.461728395,0.508024691,1620,0.882663419,miami-dade
387,0.370662461,0.606466877,1268,0.878627968,miami-dade
388,0.41286645,0.563110749,2456,0.90657822,miami-dade
389,0.525877193,0.450438596,2280,0.787532637,miami-dade
390,0.633690902,0.336909019,2517,0.822298563,miami-dade
396,0.426318981,0.542753184,1649,0.845794393,miami-dade
398,0.459079284,0.508951407,782,0.822025565,miami-dade
399,0.432624113,0.530496454,705,0.836443469,miami-dade
401,0.326368876,0.643371758,1388,0.881208397,miami-dade
402,0.580832527,0.392545983,2066,0.890765361,miami-dade
403,0.363471971,0.616636528,1106,0.864428664,miami-dade
405,0.47466468,0.5,1342,0.880676329,miami-dade
406,0.351595745,0.617021277,1880,0.882352941,miami-dade
407,0.532671629,0.422663358,1209,0.880706026,miami-dade
