"precinct","total_votes","pct_clinton","pct_trump","pct_hisp","county"
"AMHERST - ED 014",586,0.708191126,0.223549488,0.013064133,"erie_2016_merged.csv"
"AMHERST - ED 015",964,0.610995851,0.314315353,0.005451713,"erie_2016_merged.csv"
"AMHERST - ED 016",848,0.564858491,0.358490566,0.00872093,"erie_2016_merged.csv"
"AMHERST - ED 017",564,0.583333333,0.358156028,0.00554785,"erie_2016_merged.csv"
"AMHERST - ED 018",903,0.560354374,0.339977852,0.006855184,"erie_2016_merged.csv"
"AMHERST - ED 019",1073,0.5722274,0.352283318,0.00304878,"erie_2016_merged.csv"
"AMHERST - ED 020",910,0.542857143,0.397802198,0.004382121,"erie_2016_merged.csv"
"AMHERST - ED 021",761,0.498028909,0.421813403,0.016145308,"erie_2016_merged.csv"
"AMHERST - ED 022",310,0.496774194,0.435483871,0.005141388,"erie_2016_merged.csv"
"AMHERST - ED 023",853,0.396248535,0.534583822,0.00536193,"erie_2016_merged.csv"
"AMHERST - ED 024",686,0.521865889,0.427113703,0.000999001,"erie_2016_merged.csv"
"AMHERST - ED 025",787,0.471410419,0.482846252,0.005934718,"erie_2016_merged.csv"
"AMHERST - ED 026",826,0.427360775,0.489104116,0.010638298,"erie_2016_merged.csv"
"AMHERST - ED 027",832,0.493990385,0.444711538,0.001886792,"erie_2016_merged.csv"
"AMHERST - ED 028",730,0.504109589,0.44109589,0.002118644,"erie_2016_merged.csv"
"AMHERST - ED 029",1018,0.523575639,0.422396857,0.005604484,"erie_2016_merged.csv"
"AMHERST - ED 030",1056,0.520833333,0.430871212,0.00887574,"erie_2016_merged.csv"
"AMHERST - ED 031",968,0.463842975,0.460743802,0.008737093,"erie_2016_merged.csv"
"AMHERST - ED 032",534,0.496254682,0.4082397,0.026134801,"erie_2016_merged.csv"
"AMHERST - ED 033",865,0.505202312,0.427745665,0.009090909,"erie_2016_merged.csv"
"AMHERST - ED 034",696,0.518678161,0.41954023,0.009661836,"erie_2016_merged.csv"
"AMHERST - ED 035",870,0.6,0.333333333,0.017825312,"erie_2016_merged.csv"
"AMHERST - ED 036",773,0.642949547,0.287192755,0.021314387,"erie_2016_merged.csv"
"AMHERST - ED 037",598,0.578595318,0.351170569,0.015258216,"erie_2016_merged.csv"
"AMHERST - ED 038",647,0.540958269,0.367851623,0.008359457,"erie_2016_merged.csv"
"AMHERST - ED 039",368,0.644021739,0.293478261,0.014112903,"erie_2016_merged.csv"
"AMHERST - ED 040",639,0.727699531,0.205007825,0.086713287,"erie_2016_merged.csv"
"AMHERST - ED 041",231,0.753246753,0.142857143,0.137254902,"erie_2016_merged.csv"
"AMHERST - ED 042",798,0.448621554,0.463659148,0.011352886,"erie_2016_merged.csv"
"AMHERST - ED 043",680,0.547058824,0.392647059,0.016546019,"erie_2016_merged.csv"
"AMHERST - ED 044",785,0.507006369,0.430573248,0.021153846,"erie_2016_merged.csv"
"AMHERST - ED 045",589,0.482173175,0.478777589,0.008010681,"erie_2016_merged.csv"
"AMHERST - ED 046",877,0.54618016,0.411630559,0.010434783,"erie_2016_merged.csv"
"AMHERST - ED 047",686,0.514577259,0.412536443,0.02173913,"erie_2016_merged.csv"
"AMHERST - ED 048",502,0.480079681,0.422310757,0.003184713,"erie_2016_merged.csv"
"AMHERST - ED 049",769,0.503250975,0.427828349,0.018905473,"erie_2016_merged.csv"
"AMHERST - ED 050",386,0.556994819,0.370466321,0.009208103,"erie_2016_merged.csv"
"AMHERST - ED 051",714,0.49859944,0.421568627,0.019047619,"erie_2016_merged.csv"
"AMHERST - ED 052",786,0.512722646,0.41475827,0.015444015,"erie_2016_merged.csv"
"AMHERST - ED 053",1055,0.503317536,0.428436019,0.011869436,"erie_2016_merged.csv"
"AMHERST - ED 054",980,0.547959184,0.394897959,0,"erie_2016_merged.csv"
"AMHERST - ED 055",917,0.455834242,0.492911668,0.00486618,"erie_2016_merged.csv"
"AMHERST - ED 056",931,0.487647691,0.456498389,0.008906883,"erie_2016_merged.csv"
"AMHERST - ED 057",1017,0.486725664,0.438544739,0.00433526,"erie_2016_merged.csv"
"AMHERST - ED 058",1134,0.482363316,0.452380952,0.010781671,"erie_2016_merged.csv"
"AMHERST - ED 059",157,0.496815287,0.439490446,0,"erie_2016_merged.csv"
"AMHERST - ED 060",763,0.460026212,0.467889908,0.013903743,"erie_2016_merged.csv"
"AMHERST - ED 061",910,0.510989011,0.428571429,0.01236476,"erie_2016_merged.csv"
"AMHERST - ED 062",537,0.579143389,0.35009311,0.0067659,"erie_2016_merged.csv"
"AMHERST - ED 063",971,0.486096807,0.444902163,0.020547945,"erie_2016_merged.csv"
"AMHERST - ED 064",703,0.492176387,0.429587482,0.01848249,"erie_2016_merged.csv"
"AMHERST - ED 065",216,0.537037037,0.407407407,0.00308642,"erie_2016_merged.csv"
"AMHERST - ED 066",654,0.490825688,0.455657492,0.021674877,"erie_2016_merged.csv"
"AMHERST - ED 067",806,0.478908189,0.464019851,0.003770028,"erie_2016_merged.csv"
"AMHERST - ED 068",1075,0.506046512,0.430697674,0.006414825,"erie_2016_merged.csv"
"AMHERST - ED 069",942,0.507430998,0.432059448,0.001598721,"erie_2016_merged.csv"
"AMHERST - ED 070",1207,0.478873239,0.449875725,0.003119152,"erie_2016_merged.csv"
"AMHERST - ED 071",1035,0.461835749,0.485990338,0.012381646,"erie_2016_merged.csv"
"AMHERST - ED 072",771,0.470817121,0.461738003,0.016569201,"erie_2016_merged.csv"
"AMHERST - ED 073",842,0.471496437,0.460807601,0.014468085,"erie_2016_merged.csv"
"AMHERST - ED 074",731,0.411764706,0.532147743,0.010731707,"erie_2016_merged.csv"
"AMHERST - ED 075",977,0.378710338,0.557830092,0,"erie_2016_merged.csv"
"AMHERST - ED 076",744,0.404569892,0.52688172,0.001043841,"erie_2016_merged.csv"
"AMHERST - ED 077",1119,0.54512958,0.385165326,0.040594626,"erie_2016_merged.csv"
"AMHERST - ED 078",937,0.50266809,0.407684098,0.040884718,"erie_2016_merged.csv"
"AMHERST - ED 079",315,0.488888889,0.434920635,0.007751938,"erie_2016_merged.csv"
"AURORA - ED 001",667,0.532233883,0.373313343,0.001199041,"erie_2016_merged.csv"
"AURORA - ED 002",763,0.530799476,0.380078637,0.004115226,"erie_2016_merged.csv"
"AURORA - ED 003",665,0.541353383,0.384962406,0.002344666,"erie_2016_merged.csv"
"AURORA - ED 004",528,0.524621212,0.388257576,0,"erie_2016_merged.csv"
"AURORA - ED 005",766,0.516971279,0.392950392,0,"erie_2016_merged.csv"
"AURORA - ED 006",925,0.328648649,0.591351351,0,"erie_2016_merged.csv"
"AURORA - ED 007",1012,0.375494071,0.541501976,0,"erie_2016_merged.csv"
"AURORA - ED 008",965,0.361658031,0.578238342,0,"erie_2016_merged.csv"
