precinct,hisp,total,pct_hisp,total_votes,pct_obama,pct_romney
AMHERST - ED 066,22,1015,0.021674877,615,0.57398374,0.411382114
AMHERST - ED 067,4,1061,0.003770028,699,0.500715308,0.483547926
AMHERST - ED 068,9,1403,0.006414825,1036,0.480694981,0.5
AMHERST - ED 069,2,1251,0.001598721,913,0.47754655,0.510405257
AMHERST - ED 070,5,1603,0.003119152,1038,0.464354528,0.521194605
AMHERST - ED 071,17,1373,0.012381646,827,0.418379686,0.558645707
AMHERST - ED 072,17,1026,0.016569201,775,0.48516129,0.490322581
AMHERST - ED 073,17,1175,0.014468085,842,0.485748219,0.495249406
AMHERST - ED 074,11,1025,0.010731707,668,0.416167665,0.567365269
AMHERST - ED 075,,1293,,978,0.436605317,0.54396728
AMHERST - ED 076,1,958,0.001043841,647,0.319938176,0.666151468
AMHERST - ED 077,71,1749,0.040594626,1125,0.615111111,0.356444444
AMHERST - ED 078,61,1492,0.040884718,889,0.616422947,0.35208099
AMHERST - ED 079,3,387,0.007751938,306,0.464052288,0.503267974
AURORA - ED 001,1,834,0.001199041,660,0.534848485,0.446969697
AURORA - ED 002,4,972,0.004115226,544,0.512867647,0.465073529
AURORA - ED 003,2,853,0.002344666,661,0.503782148,0.468986384
AURORA - ED 004,,712,,517,0.568665377,0.404255319
AURORA - ED 005,,980,,542,0.468634686,0.487084871
AURORA - ED 006,,1177,,862,0.373549884,0.610208817
AURORA - ED 007,,1259,,982,0.394093686,0.571283096
AURORA - ED 008,,1209,,891,0.383838384,0.599326599
AURORA - ED 009,,1245,,943,0.414634146,0.566277837
AURORA - ED 010,,1118,,443,0.541760722,0.426636569
BOSTON - ED 001,,1003,,764,0.405759162,0.568062827
BOSTON - ED 002,,1042,,783,0.45210728,0.518518519
BOSTON - ED 003,,696,,498,0.395582329,0.56626506
BOSTON - ED 004,,1474,,1068,0.442883895,0.529962547
BOSTON - ED 005,,1040,,745,0.467114094,0.510067114
BOSTON - ED 006,,664,,517,0.3172147,0.657640232
BRANT - ED 001,5,433,0.011547344,282,0.436170213,0.535460993
BRANT - ED 002,12,416,0.028846154,259,0.548262548,0.447876448
BRANT - ED 003,2,247,0.008097166,138,0.514492754,0.463768116
BRANT - ED 004,7,507,0.013806706,329,0.392097264,0.565349544
BUFFALO - WD DEL - ED 001,7,18,0.388888889,10,0.9,0.1
BUFFALO - WD DEL - ED 002,81,1333,0.060765191,858,0.772727273,0.198135198
BUFFALO - WD DEL - ED 003,21,597,0.035175879,391,0.68797954,0.268542199
BUFFALO - WD DEL - ED 004,32,552,0.057971014,326,0.693251534,0.260736196
BUFFALO - WD DEL - ED 005,27,595,0.045378151,368,0.777173913,0.195652174
BUFFALO - WD DEL - ED 006,13,393,0.03307888,287,0.75261324,0.205574913
BUFFALO - WD DEL - ED 007,23,634,0.036277603,402,0.743781095,0.236318408
BUFFALO - WD DEL - ED 008,31,784,0.039540816,543,0.637200737,0.32412523
BUFFALO - WD DEL - ED 009,34,812,0.041871921,644,0.706521739,0.263975155
BUFFALO - WD DEL - ED 010,4,259,0.015444015,223,0.721973094,0.251121076
BUFFALO - WD DEL - ED 011,49,842,0.058194774,564,0.753546099,0.210992908
BUFFALO - WD DEL - ED 012,24,721,0.033287101,504,0.674603175,0.28968254
BUFFALO - WD DEL - ED 013,28,456,0.061403509,284,0.799295775,0.161971831
BUFFALO - WD DEL - ED 014,44,701,0.062767475,508,0.779527559,0.202755906
BUFFALO - WD DEL - ED 015,11,418,0.026315789,305,0.626229508,0.33442623
BUFFALO - WD DEL - ED 016,38,920,0.041304348,599,0.729549249,0.21869783
BUFFALO - WD DEL - ED 017,12,624,0.019230769,424,0.768867925,0.191037736
BUFFALO - WD DEL - ED 018,24,363,0.066115702,233,0.682403433,0.287553648
BUFFALO - WD DEL - ED 019,5,469,0.010660981,346,0.75433526,0.225433526
BUFFALO - WD DEL - ED 020,4,391,0.010230179,311,0.720257235,0.260450161
BUFFALO - WD DEL - ED 021,2,653,0.003062787,476,0.638655462,0.336134454
BUFFALO - WD DEL - ED 022,5,418,0.011961722,283,0.572438163,0.392226148
BUFFALO - WD DEL - ED 023,28,678,0.041297935,467,0.792291221,0.154175589
BUFFALO - WD DEL - ED 024,11,424,0.025943396,329,0.820668693,0.130699088
BUFFALO - WD DEL - ED 025,14,693,0.02020202,512,0.83984375,0.12109375
BUFFALO - WD DEL - ED 026,10,621,0.01610306,466,0.652360515,0.317596567
BUFFALO - WD DEL - ED 027,3,267,0.011235955,201,0.900497512,0.084577114
BUFFALO - WD DEL - ED 028,11,404,0.027227723,316,0.835443038,0.132911392
BUFFALO - WD DEL - ED 029,47,874,0.053775744,514,0.770428016,0.159533074
BUFFALO - WD DEL - ED 030,17,784,0.021683673,565,0.722123894,0.237168142
BUFFALO - WD DEL - ED 031,32,964,0.033195021,683,0.808199122,0.159590044
BUFFALO - WD DEL - ED 032,24,860,0.027906977,600,0.753333333,0.213333333
BUFFALO - WD DEL - ED 033,12,544,0.022058824,391,0.754475703,0.227621483
BUFFALO - WD DEL - ED 034,12,627,0.019138756,472,0.658898305,0.302966102
BUFFALO - WD ELL - ED 001,83,1327,0.062547099,839,0.873659118,0.088200238
BUFFALO - WD ELL - ED 002,63,309,0.203883495,164,0.823170732,0.115853659
BUFFALO - WD ELL - ED 003,17,488,0.034836066,369,0.761517615,0.20596206
BUFFALO - WD ELL - ED 004,7,309,0.022653722,202,0.98019802,0.00990099
BUFFALO - WD ELL - ED 005,,213,,121,0.958677686,0.024793388
BUFFALO - WD ELL - ED 006,1,354,0.002824859,236,0.991525424,0.008474576
BUFFALO - WD ELL - ED 007,1,422,0.002369668,268,0.992537313,0
BUFFALO - WD ELL - ED 008,1,124,0.008064516,94,0.744680851,0.212765957
BUFFALO - WD ELL - ED 009,11,190,0.057894737,122,0.745901639,0.229508197
BUFFALO - WD ELL - ED 010,9,469,0.019189765,282,0.95035461,0.024822695
BUFFALO - WD ELL - ED 011,3,437,0.006864989,254,0.992125984,0
BUFFALO - WD ELL - ED 012,3,579,0.005181347,381,0.984251969,0.010498688
BUFFALO - WD ELL - ED 013,2,635,0.003149606,456,0.984649123,0.013157895
BUFFALO - WD ELL - ED 014,26,289,0.089965398,160,0.7875,0.175
BUFFALO - WD ELL - ED 015,33,349,0.094555874,226,0.853982301,0.132743363
BUFFALO - WD ELL - ED 016,8,416,0.019230769,274,0.828467153,0.109489051
BUFFALO - WD ELL - ED 017,5,525,0.00952381,342,0.926900585,0.055555556
BUFFALO - WD ELL - ED 018,3,244,0.012295082,175,0.965714286,0.022857143
BUFFALO - WD ELL - ED 019,2,671,0.002980626,465,0.980645161,0.010752688
BUFFALO - WD ELL - ED 020,,382,,254,1,0
BUFFALO - WD ELL - ED 021,28,598,0.046822742,408,0.987745098,0.00245098
BUFFALO - WD ELL - ED 022,3,702,0.004273504,443,0.979683973,0.015801354
BUFFALO - WD ELL - ED 023,3,370,0.008108108,250,0.976,0.02
BUFFALO - WD ELL - ED 024,45,173,0.260115607,77,0.714285714,0.272727273
BUFFALO - WD ELL - ED 025,39,538,0.072490706,212,0.721698113,0.259433962
BUFFALO - WD ELL - ED 026,10,740,0.013513514,532,0.964285714,0.020676692
BUFFALO - WD ELL - ED 027,2,365,0.005479452,243,0.979423868,0.012345679
BUFFALO - WD ELL - ED 028,2,420,0.004761905,301,0.996677741,0.003322259
BUFFALO - WD ELL - ED 029,72,1039,0.069297401,584,0.921232877,0.073630137
BUFFALO - WD ELL - ED 030,1,345,0.002898551,264,0.988636364,0.003787879
BUFFALO - WD ELL - ED 031,44,1036,0.042471042,688,0.988372093,0.00872093
BUFFALO - WD ELL - ED 032,4,257,0.015564202,163,0.963190184,0.024539877
BUFFALO - WD ELL - ED 033,14,267,0.052434457,161,0.49068323,0.50310559
BUFFALO - WD ELL - ED 034,215,410,0.524390244,175,0.925714286,0.068571429
BUFFALO - WD ELL - ED 035,897,1327,0.675960814,588,0.918367347,0.073129252
BUFFALO - WD ELL - ED 036,317,543,0.583793738,215,0.874418605,0.102325581
BUFFALO - WD FIL - ED 001,45,643,0.069984448,441,0.798185941,0.160997732
BUFFALO - WD FIL - ED 002,61,598,0.102006689,352,0.778409091,0.142045455
BUFFALO - WD FIL - ED 003,40,566,0.070671378,351,0.789173789,0.156695157
BUFFALO - WD FIL - ED 004,28,290,0.096551724,167,0.790419162,0.161676647
BUFFALO - WD FIL - ED 005,278,723,0.38450899,377,0.859416446,0.090185676
BUFFALO - WD FIL - ED 006,50,182,0.274725275,94,0.85106383,0.063829787
BUFFALO - WD FIL - ED 007,268,784,0.341836735,412,0.890776699,0.089805825
BUFFALO - WD FIL - ED 008,235,861,0.272938444,578,0.742214533,0.230103806
BUFFALO - WD FIL - ED 009,3,377,0.00795756,215,0.958139535,0.03255814
BUFFALO - WD FIL - ED 010,128,808,0.158415842,469,0.933901919,0.046908316
BUFFALO - WD FIL - ED 011,7,1248,0.005608974,778,0.973007712,0.023136247
BUFFALO - WD FIL - ED 012,6,47,0.127659574,29,0.724137931,0.206896552
BUFFALO - WD FIL - ED 013,96,923,0.104008667,521,0.73512476,0.24184261
BUFFALO - WD FIL - ED 014,97,691,0.140376266,357,0.74789916,0.215686275
BUFFALO - WD FIL - ED 015,31,296,0.10472973,157,0.821656051,0.171974522
BUFFALO - WD FIL - ED 016,28,179,0.156424581,90,0.644444444,0.344444444
BUFFALO - WD FIL - ED 017,6,168,0.035714286,79,0.746835443,0.189873418
BUFFALO - WD FIL - ED 018,42,668,0.062874251,362,0.837016575,0.140883978
BUFFALO - WD FIL - ED 019,18,707,0.025459689,352,0.684659091,0.264204545
BUFFALO - WD FIL - ED 020,15,497,0.030181087,336,0.973214286,0.017857143
BUFFALO - WD FIL - ED 021,13,349,0.037249284,169,0.893491124,0.106508876
BUFFALO - WD FIL - ED 022,9,196,0.045918367,92,0.913043478,0.054347826
BUFFALO - WD FIL - ED 023,3,188,0.015957447,96,0.9375,0.0625
BUFFALO - WD FIL - ED 024,11,361,0.030470914,166,0.909638554,0.078313253
BUFFALO - WD FIL - ED 025,22,618,0.035598706,342,0.81871345,0.166666667
BUFFALO - WD FIL - ED 026,3,225,0.013333333,126,0.920634921,0.047619048
BUFFALO - WD FIL - ED 027,12,444,0.027027027,225,0.915555556,0.075555556
BUFFALO - WD FIL - ED 028,33,617,0.053484603,287,0.864111498,0.111498258
BUFFALO - WD FIL - ED 029,,522,,345,0.994202899,0.002898551
BUFFALO - WD FIL - ED 030,2,375,0.005333333,214,0.981308411,0.014018692
BUFFALO - WD FIL - ED 031,9,386,0.023316062,188,0.936170213,0.031914894
BUFFALO - WD FIL - ED 032,15,314,0.047770701,192,0.822916667,0.15625
BUFFALO - WD FIL - ED 033,7,388,0.018041237,228,0.98245614,0.004385965
BUFFALO - WD FIL - ED 034,,282,,171,0.988304094,0.005847953
BUFFALO - WD FIL - ED 035,3,304,0.009868421,202,0.98019802,0.014851485
BUFFALO - WD LOV - ED 001,1,327,0.003058104,193,0.96373057,0.025906736
BUFFALO - WD LOV - ED 002,,96,,51,0.980392157,0.019607843
BUFFALO - WD LOV - ED 003,10,681,0.014684288,445,0.964044944,0.033707865
BUFFALO - WD LOV - ED 004,8,519,0.015414258,371,0.973045822,0.013477089
BUFFALO - WD LOV - ED 005,6,499,0.012024048,329,0.960486322,0.030395137
BUFFALO - WD LOV - ED 006,5,671,0.007451565,425,0.957647059,0.030588235
BUFFALO - WD LOV - ED 007,8,351,0.022792023,220,0.954545455,0.045454545
BUFFALO - WD LOV - ED 008,1,192,0.005208333,120,0.95,0.025
BUFFALO - WD LOV - ED 009,16,625,0.0256,387,0.937984496,0.046511628
BUFFALO - WD LOV - ED 010,17,678,0.025073746,391,0.95140665,0.046035806
BUFFALO - WD LOV - ED 011,2,347,0.005763689,202,0.915841584,0.054455446
BUFFALO - WD LOV - ED 012,23,804,0.028606965,423,0.914893617,0.078014184
BUFFALO - WD LOV - ED 013,15,544,0.027573529,370,0.872972973,0.118918919
BUFFALO - WD LOV - ED 014,15,808,0.018564356,525,0.921904762,0.072380952
BUFFALO - WD LOV - ED 015,8,386,0.020725389,183,0.590163934,0.382513661
BUFFALO - WD LOV - ED 016,15,635,0.023622047,342,0.678362573,0.304093567
BUFFALO - WD LOV - ED 017,28,698,0.040114613,371,0.622641509,0.345013477
BUFFALO - WD LOV - ED 018,28,499,0.056112224,250,0.572,0.416
BUFFALO - WD LOV - ED 019,15,401,0.037406484,185,0.540540541,0.427027027
BUFFALO - WD LOV - ED 020,6,313,0.019169329,160,0.5875,0.40625
BUFFALO - WD LOV - ED 021,9,310,0.029032258,140,0.657142857,0.321428571
BUFFALO - WD LOV - ED 022,2,110,0.018181818,60,0.516666667,0.466666667
BUFFALO - WD LOV - ED 023,12,338,0.035502959,201,0.691542289,0.293532338
BUFFALO - WD LOV - ED 024,34,873,0.038946163,444,0.63963964,0.317567568
BUFFALO - WD LOV - ED 025,,6,,5,1,0
BUFFALO - WD LOV - ED 026,30,322,0.093167702,124,0.717741935,0.258064516
BUFFALO - WD LOV - ED 027,6,138,0.043478261,42,0.595238095,0.380952381
BUFFALO - WD LOV - ED 028,27,720,0.0375,414,0.6352657,0.326086957
BUFFALO - WD LOV - ED 029,17,616,0.027597403,387,0.589147287,0.366925065
BUFFALO - WD LOV - ED 030,12,626,0.019169329,414,0.555555556,0.410628019
BUFFALO - WD LOV - ED 031,94,1018,0.092337917,536,0.694029851,0.277985075
BUFFALO - WD LOV - ED 032,2,121,0.016528926,81,0.703703704,0.271604938
BUFFALO - WD MAS - ED 001,12,549,0.021857923,374,0.959893048,0.026737968
BUFFALO - WD MAS - ED 002,1,266,0.003759398,156,0.858974359,0.083333333
BUFFALO - WD MAS - ED 003,12,827,0.014510278,502,0.988047809,0.007968127
BUFFALO - WD MAS - ED 004,9,591,0.015228426,417,0.971223022,0.011990408
BUFFALO - WD MAS - ED 005,1,77,0.012987013,42,0.952380952,0
BUFFALO - WD MAS - ED 006,,235,,170,0.964705882,0.017647059
BUFFALO - WD MAS - ED 007,,768,,500,0.98,0.012
BUFFALO - WD MAS - ED 008,14,442,0.031674208,262,0.958015267,0.038167939
BUFFALO - WD MAS - ED 009,6,326,0.018404908,215,0.96744186,0.009302326
BUFFALO - WD MAS - ED 010,2,302,0.006622517,198,0.934343434,0.050505051
BUFFALO - WD MAS - ED 011,6,709,0.008462623,466,0.978540773,0.012875536
BUFFALO - WD MAS - ED 012,,693,,488,0.975409836,0.016393443
BUFFALO - WD MAS - ED 013,,508,,387,0.979328165,0.015503876
BUFFALO - WD MAS - ED 014,12,322,0.037267081,202,0.891089109,0.079207921
BUFFALO - WD MAS - ED 015,8,346,0.023121387,241,0.987551867,0.008298755
BUFFALO - WD MAS - ED 016,,340,,213,0.981220657,0.009389671
BUFFALO - WD MAS - ED 017,1,270,0.003703704,154,0.987012987,0.012987013
BUFFALO - WD MAS - ED 018,4,396,0.01010101,278,0.971223022,0.010791367
BUFFALO - WD MAS - ED 019,5,425,0.011764706,312,0.996794872,0.003205128
BUFFALO - WD MAS - ED 020,3,792,0.003787879,472,0.976694915,0.006355932
BUFFALO - WD MAS - ED 021,8,341,0.023460411,259,0.953667954,0.034749035
BUFFALO - WD MAS - ED 022,5,305,0.016393443,225,0.977777778,0.017777778
BUFFALO - WD MAS - ED 023,12,929,0.012917115,603,0.988391376,0.008291874
BUFFALO - WD MAS - ED 024,9,885,0.010169492,582,0.986254296,0.012027491
BUFFALO - WD MAS - ED 025,,493,,300,0.976666667,0.006666667
BUFFALO - WD MAS - ED 026,,241,,160,0.975,0.0125
BUFFALO - WD MAS - ED 027,22,787,0.027954257,503,0.988071571,0.005964215
BUFFALO - WD MAS - ED 028,1,403,0.00248139,309,0.987055016,0.003236246
BUFFALO - WD MAS - ED 029,,411,,282,0.982269504,0.010638298
BUFFALO - WD MAS - ED 030,,393,,244,0.975409836,0.020491803
BUFFALO - WD MAS - ED 031,,216,,136,0.970588235,0.007352941
BUFFALO - WD MAS - ED 032,4,697,0.005738881,406,0.982758621,0.004926108
BUFFALO - WD MAS - ED 033,3,719,0.004172462,459,0.993464052,0.002178649
BUFFALO - WD MAS - ED 034,3,210,0.014285714,132,0.984848485,0.007575758
BUFFALO - WD MAS - ED 035,5,399,0.012531328,269,0.985130112,0.003717472
BUFFALO - WD MAS - ED 036,5,409,0.012224939,260,0.992307692,0.003846154
BUFFALO - WD MAS - ED 037,,69,,54,0.981481481,0
BUFFALO - WD MAS - ED 038,5,479,0.010438413,288,0.986111111,0.006944444
BUFFALO - WD MAS - ED 039,2,110,0.018181818,88,0.977272727,0.011363636
BUFFALO - WD MAS - ED 040,3,389,0.007712082,263,0.954372624,0.02661597
BUFFALO - WD MAS - ED 041,,138,,106,1,0
BUFFALO - WD MAS - ED 042,4,489,0.008179959,331,0.987915408,0.003021148
BUFFALO - WD NIA - ED 001,88,382,0.230366492,189,0.772486772,0.211640212
BUFFALO - WD NIA - ED 002,171,892,0.191704036,422,0.777251185,0.154028436
BUFFALO - WD NIA - ED 003,19,224,0.084821429,128,0.796875,0.15625
BUFFALO - WD NIA - ED 004,57,201,0.28358209,98,0.816326531,0.142857143
BUFFALO - WD NIA - ED 005,143,771,0.185473411,436,0.793577982,0.130733945
BUFFALO - WD NIA - ED 006,41,541,0.075785582,385,0.745454545,0.21038961
BUFFALO - WD NIA - ED 007,155,617,0.251215559,261,0.816091954,0.141762452
BUFFALO - WD NIA - ED 008,161,570,0.28245614,267,0.880149813,0.086142322
BUFFALO - WD NIA - ED 009,56,756,0.074074074,513,0.781676413,0.14619883
BUFFALO - WD NIA - ED 010,150,429,0.34965035,194,0.845360825,0.139175258
BUFFALO - WD NIA - ED 011,127,479,0.265135699,249,0.827309237,0.124497992
BUFFALO - WD NIA - ED 012,229,651,0.351766513,340,0.811764706,0.179411765
BUFFALO - WD NIA - ED 013,211,523,0.403441683,246,0.857723577,0.12195122
BUFFALO - WD NIA - ED 014,190,811,0.234278668,419,0.85202864,0.100238663
BUFFALO - WD NIA - ED 015,5,190,0.026315789,146,0.835616438,0.123287671
BUFFALO - WD NIA - ED 016,432,788,0.54822335,351,0.826210826,0.162393162
BUFFALO - WD NIA - ED 017,97,250,0.388,107,0.91588785,0.08411215
BUFFALO - WD NIA - ED 018,41,962,0.042619543,622,0.797427653,0.147909968
BUFFALO - WD NIA - ED 019,35,1132,0.030918728,832,0.709134615,0.230769231
BUFFALO - WD NIA - ED 020,111,259,0.428571429,93,0.795698925,0.182795699
BUFFALO - WD NIA - ED 021,278,832,0.334134615,438,0.817351598,0.157534247
BUFFALO - WD NIA - ED 022,130,333,0.39039039,153,0.797385621,0.156862745
BUFFALO - WD NIA - ED 023,96,344,0.279069767,190,0.773684211,0.194736842
BUFFALO - WD NIA - ED 024,90,566,0.159010601,336,0.824404762,0.12797619
BUFFALO - WD NIA - ED 025,54,806,0.066997519,561,0.827094474,0.126559715
BUFFALO - WD NIA - ED 026,7,366,0.019125683,237,0.662447257,0.282700422
BUFFALO - WD NIA - ED 027,90,307,0.293159609,160,0.73125,0.21875
BUFFALO - WD NIA - ED 028,121,490,0.246938776,295,0.827118644,0.115254237
BUFFALO - WD NOR - ED 001,11,712,0.015449438,414,0.676328502,0.287439614
BUFFALO - WD NOR - ED 002,65,776,0.083762887,448,0.669642857,0.305803571
BUFFALO - WD NOR - ED 003,99,429,0.230769231,226,0.907079646,0.079646018
BUFFALO - WD NOR - ED 004,16,375,0.042666667,235,0.689361702,0.276595745
BUFFALO - WD NOR - ED 005,70,792,0.088383838,408,0.740196078,0.24754902
BUFFALO - WD NOR - ED 006,147,659,0.22306525,317,0.731861199,0.252365931
BUFFALO - WD NOR - ED 007,195,576,0.338541667,277,0.740072202,0.23465704
BUFFALO - WD NOR - ED 008,23,104,0.221153846,52,0.615384615,0.346153846
BUFFALO - WD NOR - ED 009,58,437,0.132723112,291,0.687285223,0.302405498
BUFFALO - WD NOR - ED 010,21,371,0.056603774,238,0.768907563,0.210084034
BUFFALO - WD NOR - ED 011,23,504,0.045634921,344,0.691860465,0.26744186
BUFFALO - WD NOR - ED 012,137,820,0.167073171,462,0.751082251,0.207792208
BUFFALO - WD NOR - ED 013,148,684,0.216374269,342,0.742690058,0.222222222
BUFFALO - WD NOR - ED 014,88,408,0.215686275,225,0.742222222,0.231111111
BUFFALO - WD NOR - ED 015,100,254,0.393700787,143,0.839160839,0.153846154
BUFFALO - WD NOR - ED 016,58,451,0.128603104,294,0.683673469,0.282312925
BUFFALO - WD NOR - ED 017,115,467,0.246252677,280,0.85,0.135714286
BUFFALO - WD NOR - ED 018,130,783,0.166028097,351,0.723646724,0.239316239
BUFFALO - WD NOR - ED 019,162,670,0.241791045,354,0.790960452,0.183615819
BUFFALO - WD NOR - ED 020,30,955,0.031413613,602,0.694352159,0.279069767
BUFFALO - WD NOR - ED 021,121,579,0.208981002,266,0.740601504,0.236842105
BUFFALO - WD NOR - ED 022,56,330,0.16969697,145,0.779310345,0.193103448
BUFFALO - WD NOR - ED 023,171,1321,0.129447388,716,0.759776536,0.210893855
BUFFALO - WD NOR - ED 024,10,474,0.021097046,347,0.688760807,0.291066282
BUFFALO - WD NOR - ED 025,105,384,0.2734375,172,0.709302326,0.25
BUFFALO - WD NOR - ED 026,173,1444,0.119806094,496,0.907258065,0.060483871
BUFFALO - WD NOR - ED 027,,83,,68,0.558823529,0.367647059
BUFFALO - WD SOU - ED 001,36,313,0.115015974,159,0.691823899,0.289308176
BUFFALO - WD SOU - ED 002,55,1141,0.04820333,633,0.671406003,0.290679305
BUFFALO - WD SOU - ED 003,20,430,0.046511628,268,0.735074627,0.23880597
BUFFALO - WD SOU - ED 004,20,431,0.046403712,284,0.626760563,0.323943662
BUFFALO - WD SOU - ED 005,24,850,0.028235294,510,0.61372549,0.350980392
BUFFALO - WD SOU - ED 006,23,664,0.034638554,354,0.720338983,0.248587571
BUFFALO - WD SOU - ED 007,8,329,0.024316109,238,0.647058824,0.31512605
BUFFALO - WD SOU - ED 008,19,465,0.040860215,294,0.646258503,0.306122449
BUFFALO - WD SOU - ED 009,11,471,0.023354565,333,0.603603604,0.378378378
BUFFALO - WD SOU - ED 010,8,327,0.024464832,240,0.675,0.295833333
BUFFALO - WD SOU - ED 011,37,1410,0.026241135,735,0.631292517,0.330612245
BUFFALO - WD SOU - ED 012,69,740,0.093243243,440,0.679545455,0.259090909
BUFFALO - WD SOU - ED 013,19,371,0.051212938,263,0.646387833,0.330798479
BUFFALO - WD SOU - ED 014,16,417,0.038369305,302,0.715231788,0.231788079
BUFFALO - WD SOU - ED 015,22,371,0.059299191,277,0.703971119,0.25631769
