"precinct","total_votes","pct_clinton","pct_trump","pct_hisp"
26007,445,0.476404494382022,0.485393258426966,0.071334214002642
26008,710,0.514084507042254,0.445070422535211,0.0692520775623269
26009,692,0.5,0.478323699421965,0.0523665659617321
26010,679,0.527245949926362,0.441826215022091,0.0663594470046083
26011,531,0.418079096045198,0.538606403013183,0.0469314079422383
26012,490,0.43469387755102,0.538775510204082,0.0611664295874822
26013,742,0.451482479784367,0.516172506738544,0.0879926672777269
26014,643,0.404354587869362,0.564541213063764,0.0700197238658777
26015,567,0.590828924162258,0.395061728395062,0.0478796169630643
26016,744,0.533602150537634,0.438172043010753,0.0499519692603266
26017,744,0.456989247311828,0.51747311827957,0.0662188099808061
26018,525,0.28952380952381,0.685714285714286,0.0248366013071895
26019,692,0.634393063583815,0.341040462427746,0.0537340619307832
26020,659,0.626707132018209,0.358118361153263,0.0375494071146245
26021,559,0.622540250447227,0.336314847942755,0.0811170212765957
26022,542,0.603321033210332,0.359778597785978,0.0595703125
26023,607,0.654036243822076,0.324546952224053,0.040468583599574
26024,508,0.692913385826772,0.267716535433071,0.0497311827956989
26025,508,0.649606299212598,0.334645669291339,0.0480769230769231
26026,704,0.698863636363636,0.274147727272727,0.0462287104622871
26027,558,0.582437275985663,0.396057347670251,0.0291828793774319
26028,623,0.548956661316212,0.412520064205457,0.042483660130719
26029,695,0.479136690647482,0.479136690647482,0.0412573673870334
26030,733,0.537517053206003,0.421555252387449,0.0428979980934223
26031,712,0.515449438202247,0.443820224719101,0.0197841726618705
26032,700,0.598571428571429,0.352857142857143,0.0573122529644269
26033,738,0.569105691056911,0.394308943089431,0.0776255707762557
26034,392,0.471938775510204,0.494897959183673,0.0463917525773196
26035,555,0.475675675675676,0.499099099099099,0.0438775510204082
26036,279,0.609318996415771,0.347670250896057,0.122362869198312
26037,662,0.539274924471299,0.415407854984894,0.0960076045627376
26038,61,0.60655737704918,0.39344262295082,0
26039,367,0.651226158038147,0.294277929155313,0.0890625
26040,363,0.608815426997245,0.360881542699725,0.0307017543859649
26041,55,0.727272727272727,0.254545454545455,0.0775862068965517
26042,385,0.602597402597403,0.371428571428571,0.05
26043,272,0.522058823529412,0.455882352941176,0.0554371002132196
26044,282,0.652482269503546,0.308510638297872,0.0477099236641221
26045,699,0.63376251788269,0.32618025751073,0.0700575815738964
26046,692,0.595375722543353,0.378612716763006,0.0384995064165844
26047,722,0.660664819944598,0.318559556786704,0.0375722543352601
26048,432,0.601851851851852,0.368055555555556,0.0346907993966818
26049,415,0.616867469879518,0.363855421686747,0.0419161676646707
26050,540,0.588888888888889,0.37037037037037,0.0641975308641975
26051,405,0.62962962962963,0.338271604938272,0.0882352941176471
26052,506,0.626482213438735,0.306324110671937,0.0817120622568093
26053,667,0.626686656671664,0.343328335832084,0.113499570077386
26054,626,0.509584664536741,0.468051118210863,0.0543161978661494
26055,526,0.591254752851711,0.38212927756654,0.077003121748179
26056,670,0.564179104477612,0.401492537313433,0.0967741935483871
26057,730,0.595890410958904,0.36027397260274,0.0790408525754885
26058,672,0.592261904761905,0.380952380952381,0.101218369259606
26059,712,0.502808988764045,0.460674157303371,0.0500481231953802
26060,712,0.463483146067416,0.5,0.0532544378698225
26061,602,0.498338870431894,0.471760797342193,0.071
26062,630,0.553968253968254,0.395238095238095,0.0867492850333651
26063,647,0.545595054095827,0.417310664605873,0.0688976377952756
26064,592,0.498310810810811,0.462837837837838,0.08
26065,738,0.573170731707317,0.397018970189702,0.0457943925233645
26066,766,0.516971279373368,0.442558746736292,0.0739130434782609
26067,653,0.500765696784073,0.465543644716692,0.0444874274661509
26068,584,0.455479452054795,0.496575342465753,0.0496054114994363
26069,743,0.522207267833109,0.438761776581427,0.0538461538461538
26070,673,0.641901931649331,0.304606240713224,0.0951437066402379
26071,467,0.788008565310492,0.201284796573876,0.0067911714770798
26072,365,0.589041095890411,0.350684931506849,0.0817469204927212
26073,909,0.800880088008801,0.188118811881188,0.00175131348511384
26074,480,0.6875,0.275,0.068
26075,635,0.639370078740157,0.325984251968504,0.0489977728285078
26076,590,0.628813559322034,0.34406779661017,0.0416124837451235
27001,530,0.218867924528302,0.709433962264151,0.00895522388059702
27002,NA,NA,NA,0.237614678899083
27003,676,0.689349112426035,0.269230769230769,0.202038924930491
27004,683,0.683748169838946,0.26207906295754,0.0959860383944154
27005,NA,NA,NA,0.147495361781076
27006,755,0.747019867549669,0.185430463576159,0.125810635538262
27007,596,0.768456375838926,0.184563758389262,0.110835401157982
27008,678,0.775811209439528,0.187315634218289,0.183928571428571
27009,679,0.830633284241532,0.128129602356406,0.211640211640212
27010,38,0.789473684210526,0.210526315789474,0.540540540540541
27011,306,0.888888888888889,0.101307189542484,0.203463203463203
27012,611,0.751227495908347,0.219312602291326,0.18531781557744
27013,648,0.757716049382716,0.20679012345679,0.164118246687054
27014,704,0.767045454545455,0.178977272727273,0.176241480038948
27015,673,0.818722139673105,0.153046062407132,0.21415770609319
27016,294,0.67687074829932,0.258503401360544,0.127744510978044
27017,233,0.738197424892704,0.240343347639485,0.254378648874062
27018,61,0.573770491803279,0.409836065573771,0.0116279069767442
27019,452,0.732300884955752,0.232300884955752,0.0621621621621622
27020,629,0.767885532591415,0.189189189189189,0.0813559322033898
27021,604,0.774834437086093,0.177152317880795,0.0863309352517986
27022,461,0.572668112798265,0.37527114967462,0.085750315258512
27023,598,0.37123745819398,0.615384615384615,0.0402761795166858
27024,522,0.4272030651341,0.538314176245211,0.0643729189789123
27025,493,0.208924949290061,0.754563894523327,0.00704934541792548
27026,454,0.270925110132159,0.654185022026432,0.017
